name,danceability,energy,key,loudness,valence,tempo,duration_ms,target
No Promises (feat. Demi Lovato),0.741,0.667,10,-5.445,0.609,112.956,223504,1
Slow Hands,0.726,0.429,0,-6.623,0.874,85.899,188174,1
Bad Bitch (feat. Ty Dolla $ign),0.656,0.615,5,-6.252,0.364,139.91,197253,1
Good Life (with G-Eazy & Kehlani),0.565,0.771,1,-5.22,0.551,168.385,225526,1
The Night We Met,0.549,0.371,2,-9.56,0.117,87.024,206933,1
Rollin,0.754,0.762,6,-4.486,0.673,92.002,272667,1
Obsession (feat. Jon Bellion),0.741,0.559,10,-7.775,0.441,101.999,221983,1
Whippin (feat. Felix Snow),0.87,0.502,5,-7.497,0.676,82.53,160597,1
Symphony,0.718,0.609,0,-4.699,0.47,122.948,214867,1
Break Up Every Night,0.624,0.806,1,-5.957,0.536,149.999,207520,1
Unforgettable,0.726,0.769,6,-5.043,0.75,97.985,233833,1
HUMBLE.,0.905,0.596,1,-7.496,0.419,149.996,177604,1
do re mi,0.747,0.592,8,-6.334,0.16,110.991,212027,1
Swalla (feat. Nicki Minaj & Ty Dolla $ign),0.696,0.817,1,-3.862,0.779,98.064,216409,1
Whatever It Takes,0.673,0.676,1,-5.002,0.568,134.944,201601,1
Touch,0.607,0.718,4,-4.095,0.521,101.821,213307,1
Selfish,0.415,0.369,8,-10.044,0.0951,95.746,251423,1
It Ain_—Èt Me (with Selena Gomez),0.648,0.532,0,-6.597,0.497,99.983,220781,1
Mama,0.747,0.799,11,-4.066,0.537,104.02,184134,1
The One,0.76,0.303,2,-11.362,0.157,99.991,177573,1
Nights With You,0.763,0.671,1,-4.029,0.608,120.06,197495,1
TG4M,0.667,0.648,3,-6.398,0.585,95.031,172893,1
Mask Off,0.833,0.434,2,-8.795,0.286,150.062,204600,1
Bon App’©tit,0.803,0.793,6,-5.769,0.54,106.035,227292,1
Sign of the Times,0.516,0.595,5,-4.63,0.209,119.972,340707,1
At My Best (feat. Hailee Steinfeld),0.532,0.778,7,-6.69,0.242,169.923,200733,1
Issues,0.704,0.423,8,-6.792,0.45,113.962,176347,1
That's What I Like,0.853,0.56,1,-4.961,0.853,134.066,206693,1
September Song,0.623,0.656,0,-5.608,0.371,95.878,220291,1
Still Got Time,0.748,0.627,7,-6.029,0.513,120.963,188491,1
Location,0.736,0.449,1,-11.462,0.322,80.126,219080,1
Scared to Be Lonely,0.584,0.54,1,-7.786,0.19,137.972,220883,1
Passionfruit,0.804,0.459,11,-11.556,0.372,111.963,298941,1
Shape of You,0.825,0.652,1,-3.183,0.933,95.977,233713,1
Wild Ones (feat. Sia),0.608,0.86,5,-5.324,0.441,127.075,232947,1
Starships,0.748,0.727,11,-2.42,0.68,125.014,210627,1
Lollipop,0.828,0.433,0,-9.716,0.446,148.073,299333,1
Time of Our Lives,0.72,0.802,1,-5.797,0.716,124.043,229360,1
Stereo Hearts (feat. Adam Levine),0.646,0.795,9,-3.293,0.791,89.99,210960,1
Glad You Came,0.755,0.838,7,-4.5,0.454,126.877,198187,1
Dynamite,0.75,0.78,4,-3.155,0.819,119.985,203867,1
Clique,0.467,0.564,9,-4.986,0.304,81.966,293533,1
Airplanes (feat. Hayley Williams of Paramore),0.66,0.867,6,-4.285,0.376,93.033,180480,1
Trumpets,0.635,0.691,0,-4.862,0.63,82.142,217419,1
Live Your Life - feat. Rihanna,0.375,0.862,11,-3.363,0.472,159.841,338853,1
Like A G6,0.352,0.843,7,-7.983,0.716,165.29,216893,1
Feel This Moment,0.673,0.758,7,-3.632,0.541,135.956,229507,1
Timber,0.581,0.963,11,-4.087,0.792,129.992,204160,1
Classic,0.72,0.791,1,-4.689,0.767,102.071,175427,1
Titanium (feat. Sia),0.599,0.803,0,-3.641,0.254,126.057,245041,1
E.T. - feat. Kanye West,0.62,0.869,1,-5.252,0.769,151.684,229573,1
GDFR (feat. Sage The Gemini & Lookas),0.657,0.827,5,-4.036,0.698,145.889,190186,1
"Young, Wild & Free (feat. Bruno Mars)",0.715,0.655,0,-6.425,0.557,95.078,207333,1
The Monster,0.786,0.857,9,-3.765,0.602,110.038,250189,1
TiK ToK,0.755,0.832,2,-2.741,0.719,120.032,199693,1
Love You Like A Love Song,0.859,0.697,1,-3.79,0.875,117.008,188453,1
Don't You Worry Child (Radio Edit) [feat. John Martin],0.612,0.84,11,-3.145,0.441,129.042,212862,1
Sexy Bitch (feat. Akon) - Featuring Akon;explicit,0.809,0.628,11,-5.021,0.797,130.008,195853,1
Somebody,0.842,0.531,0,-8.729,0.758,105.013,189907,1
Maps,0.745,0.714,1,-5.501,0.847,120.025,189959,1
Am I Wrong,0.725,0.68,8,-5.465,0.753,119.939,247520,1
Umbrella,0.579,0.821,1,-4.616,0.561,174.063,275987,1
Counting Stars,0.663,0.714,1,-4.944,0.471,121.99,257840,1
Turn Down for What,0.818,0.799,1,-4.1,0.0953,100.014,213733,1
Get Lucky,0.81,0.793,6,-9.404,0.86,116.049,369627,1
A Dustland Fairytale,0.441,0.87,2,-4.845,0.281,134.469,225160,1
My House,0.688,0.702,7,-4.792,0.731,94.006,192191,1
Best I Ever Had,0.427,0.861,1,-4.874,0.581,161.776,257760,1
Stitches,0.592,0.752,1,-6.589,0.73,74.784,206880,1
I Will Never Let You Down,0.753,0.801,4,-3.215,0.787,128.011,203467,1
Do I Wanna Know?,0.548,0.532,5,-7.596,0.428,85.03,272394,1
Cinema - Skrillex Remix,0.635,0.983,6,-3.807,0.422,145.085,307987,1
Take Care,0.697,0.527,0,-10.438,0.289,121.849,277387,1
Love Song,0.583,0.786,2,-3.142,0.556,123.052,258827,1
Blurred Lines,0.862,0.608,7,-4.762,0.825,120.002,263827,1
Swimming Pools (Drank) - Extended Version,0.68,0.489,11,-7.837,0.261,74.04,313787,1
Beautiful Girls - Radio Disney Version,0.772,0.648,9,-6.222,0.744,129.966,225560,1
Cool,0.709,0.697,2,-3.471,0.78,112.017,189333,1
Can_—Èt Live Without,0.627,0.56,5,-5.378,0.488,97.967,262853,1
Glimpse,0.567,0.678,10,-6.642,0.381,141.951,217480,1
Broken Things,0.547,0.513,0,-7.451,0.262,110.54,187013,1
Even If,0.335,0.582,5,-5.09,0.13,110.522,255160,1
Home,0.468,0.786,9,-2.757,0.479,84.992,219720,1
Nowhere,0.322,0.508,7,-7.681,0.191,155.128,228067,1
Hills and Valleys (The Valleys Version),0.486,0.331,2,-9.106,0.421,79.277,250123,1
Chain Breaker,0.475,0.672,0,-5.925,0.382,77.857,195907,1
Clean,0.361,0.236,6,-7.781,0.184,147.309,277973,1
I Will,0.519,0.684,6,-3.746,0.293,133.943,245853,1
The Gospel,0.576,0.686,3,-6.032,0.599,153.901,254262,1
Throne Room,0.511,0.815,6,-6.317,0.245,128.004,284947,1
I Won't Let You Go - Radio Version,0.526,0.692,4,-3.895,0.266,137.849,237467,1
Unfinished,0.621,0.674,6,-4.635,0.255,92.994,215050,1
Old Church Choir,0.673,0.813,0,-5.895,0.638,103.999,176453,1
Forgiven,0.555,0.663,0,-5.628,0.295,75.976,236667,1
Love Wins,0.534,0.508,2,-7.085,0.407,153.947,225933,1
I Have This Hope,0.422,0.336,0,-7.199,0.0974,108.009,204800,1
In Awe,0.448,0.412,11,-7.877,0.308,133.881,218133,1
Oh My Soul,0.331,0.427,3,-7.431,0.129,157.938,255173,1
You Redeem - Studio Version,0.385,0.663,2,-5.902,0.237,156.066,222400,1
Amen,0.447,0.89,6,-4.563,0.331,93.894,212701,1
Brand New Life,0.619,0.733,8,-5.055,0.507,100.071,220840,1
Oceans (Where Feet May Fail) - Radio Version,0.497,0.604,2,-9.438,0.225,131.935,249640,1
O God Forgive Us,0.464,0.225,0,-9.155,0.209,84.677,205387,1
Death Was Arrested,0.306,0.742,11,-3.914,0.149,155.873,293331,1
Back To God,0.536,0.711,6,-4.916,0.326,147.9,243013,1
Say The Word,0.429,0.636,5,-7.684,0.233,123.966,264320,1
On My Side,0.295,0.326,9,-6.125,0.136,126.704,252360,1
Bloom,0.534,0.933,6,-4.021,0.783,174.081,168040,1
Revival,0.475,0.92,5,-4.991,0.729,154.906,219280,1
Hold It All,0.436,0.618,3,-8.402,0.352,83.982,248962,1
Lifer,0.704,0.928,8,-3.422,0.96,113.981,201093,1
Now,0.543,0.944,11,-2.647,0.728,93.957,202039,1
Battles,0.534,0.862,1,-4.282,0.435,104.012,235733,1
Prove Me Wrong,0.227,0.309,0,-7.368,0.225,167.097,247020,1
Run the Race,0.732,0.606,10,-5.21,0.637,115.985,207052,1
The Happy Song,0.659,0.848,4,-3.273,0.961,166.009,167711,1
Find You Here,0.588,0.58,0,-7.833,0.492,138.013,228453,1
Change The World (feat. Hollyn),0.353,0.87,0,-5.386,0.308,135.045,199111,1
Rise,0.696,0.713,11,-5.114,0.368,189.932,230933,1
Priceless,0.529,0.769,11,-6.369,0.648,73.946,208520,1
Alive In You - Studio Version,0.525,0.657,7,-6.394,0.286,77.013,239999,1
What A Beautiful Name,0.423,0.502,2,-5.924,0.0968,135.858,238200,1
Beloved,0.574,0.802,11,-4.801,0.52,128.062,240453,1
There Is a Cloud,0.388,0.542,2,-6.122,0.128,135.866,347893,1
Rise,0.519,0.907,4,-3.918,0.603,147.957,217800,1
Fearless,0.688,0.843,5,-4.12,0.841,105.02,183413,1
Tears,0.569,0.484,0,-6.536,0.308,122.08,235680,1
To Live Is Christ,0.547,0.511,11,-5.802,0.179,143.968,228040,1
Be The Change,0.511,0.831,11,-4.826,0.544,141.971,237453,1
Parachute,0.676,0.79,7,-3.674,0.0484,99.948,200481,1
Where You Are (Reimagined),0.587,0.791,8,-6.313,0.593,125.993,203937,1
The Cause Of Christ,0.389,0.525,9,-7.941,0.0963,143.919,297320,1
King Of The World,0.528,0.59,6,-6.682,0.113,118.031,216400,1
Come Alive (Dry Bones),0.37,0.723,0,-4.774,0.117,149.923,235227,1
Even So Come - Radio Version/Live,0.301,0.762,7,-3.392,0.208,161.864,254373,1
"10,000 Reasons (Bless the Lord) [Radio Version]",0.459,0.561,7,-7.091,0.298,144.784,256933,1
More Than Conquerors (Radio Version),0.545,0.576,6,-11.081,0.416,100.304,234199,1
TESTIFY,0.495,0.71,0,-3.941,0.332,90.024,243800,1
Great Are You Lord (Radio Mix),0.492,0.656,9,-7.361,0.336,147.948,232379,1
Worthy Of Your Name - Studio,0.401,0.7,0,-5.07,0.171,81.049,307680,1
My All In All,0.436,0.836,10,-4.884,0.314,147.978,288253,1
Love Broke Thru,0.674,0.895,0,-3.973,0.558,102.984,237146,1
Magnify,0.566,0.766,11,-6.87,0.393,139.955,208627,1
The Cross Has The Final Word,0.211,0.649,0,-7.28,0.289,150.11,252965,1
Eye of the Storm (feat. Gabe Real),0.305,0.726,9,-6.375,0.547,82.673,331613,1
Black Colors,0.237,0.99,7,-3.331,0.169,151.545,247533,1
A Darkened Gospel,0.455,0.994,4,-4.584,0.0703,125.035,311217,1
Soil the Stillborn,0.236,0.981,6,-2.635,0.129,160.114,239696,1
No Absolution,0.468,0.998,9,-0.994,0.064,140.003,201783,1
Hearteater,0.476,0.962,8,-4.023,0.451,145.947,314907,1
Shapeless Abomination,0.226,0.553,1,-9.169,0.323,129.255,209563,1
Dirty Waters,0.495,0.955,6,-4.181,0.362,130.002,263687,1
Defiled,0.296,0.983,11,-2.999,0.231,115.003,229859,1
Negative,0.474,0.925,2,-3.539,0.142,139.97,260706,1
Distorting of Perception,0.406,0.936,2,-4.564,0.26,139.922,180872,1
Ruin,0.173,0.927,1,-5.22,0.183,99.131,267600,1
Fauxhammer,0.404,0.989,2,-1.374,0.153,94.291,224812,1
Spiteful Nature,0.456,0.97,1,-4.655,0.0399,124.976,217133,1
We Wait,0.242,0.96,1,-4.112,0.199,169.896,233796,1
Plague of Immortality (feat. Dean Lamb Of Archspire),0.472,0.942,11,-3.954,0.186,150.005,229640,1
Arrogance,0.227,0.921,1,-6.149,0.116,175.167,244181,1
Inferiority,0.444,0.943,1,-4.955,0.292,119.945,268187,1
Senseless Order,0.17,0.866,4,-7.304,0.11,117.539,319582,1
Advent,0.276,0.919,1,-3.773,0.149,116.038,294034,1
Venomous,0.401,0.988,1,-4.104,0.191,155.356,264107,1
Substance Affliction,0.398,0.974,1,-2.823,0.245,129.983,200525,1
To Encompass and Eclipse,0.566,0.986,1,-5.016,0.15,127.515,250647,1
Rope,0.39,0.978,11,-4.209,0.102,100.221,192011,1
Permanent Intoxication,0.336,0.983,11,-1.812,0.131,113.711,282401,1
Tremendous Strain,0.48,0.984,3,-5.718,0.146,130.02,228923,1
Of Talons and Teeth,0.285,0.989,7,-4.407,0.201,140.019,232999,1
Pitchblack,0.428,0.997,8,-3.587,0.0533,149.998,221776,1
Zerotonin 2,0.256,0.98,3,-5.107,0.11,94.99,197684,1
False Hope,0.491,0.928,9,-3.866,0.14,132.973,309734,1
1208,0.274,0.925,1,-5.204,0.102,161.25,198011,1
Plagues,0.217,0.98,5,-3.332,0.0658,139.024,255725,1
Hear Me Out,0.261,0.863,11,-7.199,0.316,108.347,149278,1
Down into the Abyss,0.517,0.991,9,-2.406,0.194,120.026,256920,1
Dance of the Witch,0.258,0.905,10,-4.897,0.16,112.94,282101,1
New World Slaughter,0.484,0.98,0,-1.939,0.165,119.997,328000,1
FVNERAL MOON,0.387,0.967,5,-3.335,0.0536,129.904,300000,1
Beautiful Agony,0.424,0.992,5,-2.976,0.0914,145.144,271560,1
Ways Of Transfiguration,0.45,0.986,1,-2.384,0.172,159.976,267000,1
Black Mammoth,0.222,0.985,7,-4.105,0.16,136.227,278577,1
Solicitude,0.455,0.973,1,-4.597,0.448,102.076,210426,1
The Call of Mighty,0.398,0.955,7,-3.39,0.134,100.03,252005,1
Manufactured Existence,0.399,0.877,11,-5.418,0.254,112.351,267209,1
Bastard Son,0.401,0.921,6,-3.287,0.372,102.035,194000,1
The Shaping Sickness,0.209,0.955,11,-4.527,0.114,199.988,246689,1
Drown Me in Blood,0.493,0.964,1,-3.079,0.17,110.005,258868,1
Inferno,0.339,0.958,9,-2.909,0.273,128.806,219317,1
Debris,0.458,0.957,0,-6.16,0.154,120.006,184482,1
"I, the Weak",0.263,0.896,6,-8.048,0.251,113.106,275719,1
American Dream,0.482,0.968,6,-4.395,0.245,114.001,198947,1
Temptress,0.379,0.979,9,-3.77,0.156,140.029,256114,1
Flag of the Beast,0.535,0.974,10,-3.566,0.431,116.956,203500,1
Unanswered,0.329,0.993,6,-3.416,0.372,116.461,135653,1
Be My Valentine (feat. Dickie Allen),0.162,0.957,10,-6.229,0.119,96.822,200961,1
Prismatic Abyss,0.389,0.985,1,-2.795,0.0637,135.019,220558,1
Right In,0.636,0.802,2,-2.168,0.334,139.815,180400,1
Bangarang (feat. Sirah),0.716,0.972,7,-2.302,0.566,110.026,215253,1
Breakn' A Sweat,0.596,0.921,11,-2.5,0.232,139.969,301987,1
The Devil's Den,0.616,0.946,1,-2.876,0.332,127.992,292907,1
Right On Time,0.633,0.926,11,-4.749,0.493,140.037,245053,1
Kyoto (feat. Sirah),0.605,0.92,4,-2.298,0.22,174.974,200787,1
Skrillex Orchestral Suite By Varien - Bonus Track,0.176,0.479,7,-7.471,0.0622,100.831,414747,1
Satellite,0.385,0.404,8,-6.999,0.0703,146.128,232716,1
Nosedive,0.68,0.593,1,-6.496,0.396,94.007,231679,1
PIZZA,0.726,0.889,6,-4.251,0.531,119.983,212409,1
ñù‚ï‘—ïç“ ñ__ñ_‚ñ_…ñ_” Stay With Me,0.741,0.219,11,-11.944,0.198,101.78,193217,1
Stardust,0.587,0.554,1,-7.212,0.431,80.013,246457,1
Burning youth,0.321,0.751,9,-4.655,0.174,110.182,128340,1
Wi Ing Wi Ing,0.697,0.692,7,-5.34,0.275,124.829,193605,1
Wonder,0.483,0.524,11,-3.92,0.519,91.878,229261,1
I'll Pick You Up,0.498,0.436,6,-4.592,0.261,79.871,221293,1
VAMOS,0.635,0.575,11,-8.8,0.493,159.913,183781,1
